"id","nome","partido"
204409,"Daniel Trzeciak","PSDB"
204410,"Luisa Canziani","PSD"
204411,"Filipe Barros","PL"
204412,"Dr. Zacharias Calil","UNIÃO"
204413,"Alcides Rodrigues","PATRIOTA"
204414,"Aroldo Martins","REPUBLICANOS"
204415,"Nereu Crispim","PSD"
204416,"Sanderson","PL"
204418,"Luizão Goulart","SOLIDARIEDADE"
204419,"Glaustin da Fokus","PSC"
204420,"Julian Lemos","UNIÃO"
204421,"Edna Henrique","REPUBLICANOS"
204422,"Ossesio Silva","REPUBLICANOS"
204423,"André Ferreira","PL"
204425,"Silvio Costa Filho","REPUBLICANOS"
204426,"Carlos Veras","PT"
204427,"Fernando Rodolfo","PL"
204428,"Marília Arraes","SOLIDARIEDADE"
204429,"João H. Campos","PSB"
204430,"Margarete Coelho","PP"
204431,"Marcos Aurélio Sampaio","PSD"
204432,"Marina Santos","REPUBLICANOS"
204433,"Marcelo Calero","PSD"
204434,"Dra. Vanda Milani","PROS"
204435,"Jesus Sérgio","PDT"
204436,"Isnaldo Bulhões Jr.","MDB"
204437,"Severino Pessoa","MDB"
204438,"Sergio Toledo","PV"
204439,"Dr. Leonardo","REPUBLICANOS"
204440,"Christino Aureo","PP"
204441,"Otoni de Paula","MDB"
204442,"Gurgel","PL"
204443,"Wagner Montes","REPUBLICANOS"
204444,"Helio Lopes","PL"
204445,"Fernando Mineiro","PT"
204446,"Professor Joziel","PATRIOTA"
204447,"Flordelis","PSD"
204448,"Luiz Antônio Corrêa","PP"
204449,"Nelson Barbudo","PL"
204450,"Doutor Luizinho","PP"
204451,"Delegado Antônio Furtado","UNIÃO"
204452,"Márcio Labre","PL"
204453,"Natália Bonavides","PT"
204454,"Daniel Silveira","PTB"
204455,"Luiz Lima","PL"
204456,"Gutemberg Reis","MDB"
204457,"Juninho do Pneu","UNIÃO"
204458,"Major Fabiana","PL"
204459,"Daniela do Waguinho","UNIÃO"
204460,"Carlos Jordy","PL"
204461,"Paulo Ganime","NOVO"
204462,"Chris Tonietto","PL"
204463,"Wladimir Garotinho","PSD"
204464,"Talíria Petrone","PSOL"
204465,"Haroldo Cathedral","PSD"
204466,"Tereza Nelma","PSD"
204467,"Professora Rosa Neide","PT"
204468,"Joenia Wapichana","REDE"
204469,"Manuel Marcos","REPUBLICANOS"
